question,answer,correct
0 + 0,0,True
0 + 1,1,True
0 + 2,2,True
0 + 3,3,True
0 + 4,4,True
0 + 5,5,True
0 + 6,6,True
0 + 7,7,True
0 + 8,8,True
0 + 9,9,True
1 + 0,1,True
1 + 1,2,True
1 + 2,3,True
1 + 3,4,True
1 + 4,5,True
1 + 5,6,True
1 + 6,7,True
1 + 7,8,True
1 + 8,9,True
1 + 9,10,True
2 + 0,2,True
2 + 1,3,True
2 + 2,4,True
2 + 3,5,True
2 + 4,6,True
2 + 5,7,True
2 + 6,8,True
2 + 7,9,True
2 + 8,10,True
2 + 9,11,True
3 + 0,3,True
3 + 1,4,True
3 + 2,5,True
3 + 3,6,True
3 + 4,7,True
3 + 5,8,True
3 + 6,9,True
3 + 7,10,True
3 + 8,11,True
3 + 9,12,True
4 + 0,4,True
4 + 1,5,True
4 + 2,6,True
4 + 3,7,True
4 + 4,8,True
4 + 5,9,True
4 + 6,10,True
4 + 7,11,True
4 + 8,12,True
4 + 9,13,True
5 + 0,5,True
5 + 1,6,True
5 + 2,7,True
5 + 3,8,True
5 + 4,9,True
5 + 5,10,True
5 + 6,11,True
5 + 7,12,True
5 + 8,13,True
5 + 9,14,True
6 + 0,6,True
6 + 1,7,True
6 + 2,8,True
6 + 3,9,True
6 + 4,10,True
6 + 5,11,True
6 + 6,12,True
6 + 7,13,True
6 + 8,14,True
6 + 9,15,True
7 + 0,7,True
7 + 1,8,True
7 + 2,9,True
7 + 3,10,True
7 + 4,11,True
7 + 5,12,True
7 + 6,13,True
7 + 7,14,True
7 + 8,15,True
7 + 9,16,True
8 + 0,8,True
8 + 1,9,True
8 + 2,10,True
8 + 3,11,True
8 + 4,12,True
8 + 5,13,True
8 + 6,14,True
8 + 7,15,True
8 + 8,16,True
8 + 9,17,True
9 + 0,9,True
9 + 1,10,True
9 + 2,11,True
9 + 3,12,True
9 + 4,13,True
9 + 5,14,True
9 + 6,15,True
9 + 7,16,True
9 + 8,17,True
9 + 9,18,True
